Demand ID; Started at; Source Node; Destination node; Bitrate; Duration; Is success; Links in path; Path length; Is shortest path; Required core; Required index
14994; 1036; 20; 12; 982; 1; False; [13, 26, 63]; 2000; True; None; None
14896; 1030; 16; 5; 965; 8; False; [56, 59]; 1556; True; None; None
14965; 1034; 18; 8; 837; 4; False; [16, 19, 23, 29, 59]; 2384; True; None; None
15001; 1037; 14; 26; 105; 1; True; [42, 51, 52, 77, 81]; 2681; True; 0; 143
14899; 1030; 7; 2; 756; 8; False; [8, 12, 24]; 1204; True; None; None
14967; 1034; 4; 12; 709; 4; False; [16, 20, 33]; 1554; True; None; None
14986; 1036; 4; 17; 921; 2; False; [7, 15]; 1341; True; None; None
15016; 1037; 19; 7; 958; 1; False; [0, 6, 61]; 1804; True; None; None
15006; 1037; 18; 20; 357; 1; False; [2, 3, 15, 59, 62]; 3056; True; None; None
14769; 1023; 1; 12; 789; 15; False; [6, 20, 22, 33]; 1865; True; None; None
14902; 1031; 22; 24; 180; 7; True; [69, 72]; 1293; True; 0; 25
15008; 1037; 8; 20; 192; 1; False; [9, 14, 27]; 1800; True; None; None
14797; 1025; 11; 4; 213; 13; True; [24, 38]; 933; True; 0; 27
14928; 1032; 6; 3; 266; 6; True; [23, 27]; 745; True; 0; 0
15019; 1037; 26; 19; 299; 1; False; [17, 18, 22, 25, 28, 38, 76, 79, 80]; 4650; True; None; None
14988; 1036; 25; 18; 91; 2; True; [7, 8, 12, 24, 38, 76]; 2872; True; 0; 48
14989; 1036; 26; 19; 248; 2; False; [17, 18, 22, 25, 28, 38, 76, 79, 80]; 4650; True; None; None
14990; 1036; 16; 24; 546; 2; False; [4, 9, 13, 26, 41, 55, 57]; 3941; True; None; None
14996; 1036; 13; 3; 152; 3; True; [27, 34, 47, 49]; 1864; True; 0; 166
14998; 1036; 26; 25; 783; 3; True; [78]; 1213; True; 0; 263
14960; 1034; 0; 3; 540; 5; True; [1]; 540; True; 0; 82
15005; 1037; 11; 21; 651; 2; False; [40, 54, 68, 71]; 2771; True; None; None
14935; 1033; 17; 14; 656; 6; False; [4, 10, 30, 37, 50, 57]; 3004; True; None; None
14970; 1035; 17; 18; 567; 4; False; [56, 58]; 1594; True; None; None
14794; 1024; 15; 27; 795; 15; True; [42, 52, 77]; 1682; True; 0; 74
15028; 1038; 0; 13; 680; 1; False; [1, 10, 12, 30, 37, 50]; 2663; True; None; None
14953; 1034; 13; 9; 919; 5; False; [34, 47, 49]; 1390; True; None; None
15017; 1037; 12; 2; 784; 2; True; [19, 21, 31, 43]; 1865; True; 0; 259
14962; 1034; 0; 21; 671; 5; False; [0, 6, 20, 22, 33, 45]; 3879; True; None; None
15026; 1038; 11; 22; 862; 1; False; [40, 54, 71]; 1562; True; None; None
14888; 1030; 1; 5; 242; 9; True; [6, 22]; 818; True; 0; 175
15029; 1038; 21; 23; 465; 1; False; [66, 69]; 1683; True; None; None
14993; 1036; 26; 22; 590; 3; False; [68, 71, 74, 78]; 3715; True; None; None
14818; 1026; 19; 16; 605; 13; False; [1, 13, 26, 40, 61]; 2583; True; None; None
14779; 1024; 14; 15; 90; 16; True; [51]; 376; True; 0; 0
14924; 1032; 27; 1; 586; 8; True; [11, 24, 38, 76, 80]; 2735; True; 0; 26
